date,open,high,low,close
"Jul 20, 2017 11:00",112.308,112.308,112.137,112.213
"Jul 20, 2017 10:00",112.35,112.381,112.301,112.309
"Jul 20, 2017 09:00",112.337,112.42,112.304,112.35
"Jul 20, 2017 08:00",112.284,112.39,112.253,112.336
"Jul 20, 2017 07:00",112.1,112.321,112.091,112.281
"Jul 20, 2017 06:00",112.177,112.221,112.01,112.101
"Jul 20, 2017 05:00",112.047,112.19,112.047,112.172
"Jul 20, 2017 04:00",112.151,112.165,112.047,112.047
"Jul 20, 2017 03:00",111.969,112.178,111.894,112.155
"Jul 20, 2017 02:00",111.965,112.068,111.888,111.965
"Jul 20, 2017 01:00",111.823,111.965,111.77,111.965
"Jul 20, 2017 00:00",111.887,111.893,111.79,111.827
"Jul 19, 2017 23:00",111.888,111.89,111.794,111.882
"Jul 19, 2017 22:00",111.888,111.924,111.865,111.891
"Jul 19, 2017 21:00",111.948,111.968,111.834,111.883
"Jul 19, 2017 20:00",111.823,111.934,111.801,111.932
"Jul 19, 2017 19:00",111.792,111.859,111.776,111.827
"Jul 19, 2017 18:00",111.756,111.82,111.756,111.791
"Jul 19, 2017 17:00",111.7,111.755,111.694,111.751
"Jul 19, 2017 16:00",111.762,111.796,111.706,111.706
"Jul 19, 2017 15:00",111.683,111.793,111.648,111.76
"Jul 19, 2017 14:00",111.622,111.861,111.618,111.681
"Jul 19, 2017 13:00",111.626,111.698,111.552,111.619
"Jul 19, 2017 12:00",111.981,111.982,111.578,111.629
"Jul 19, 2017 11:00",112.025,112.085,111.973,111.981
"Jul 19, 2017 10:00",111.938,112.041,111.915,112.023
"Jul 19, 2017 09:00",112.039,112.062,111.893,111.94
"Jul 19, 2017 08:00",112.141,112.164,112.005,112.038
"Jul 19, 2017 07:00",112.084,112.197,112.014,112.14
"Jul 19, 2017 06:00",112.052,112.122,111.959,112.083
"Jul 19, 2017 05:00",112.042,112.232,112.041,112.179
"Jul 19, 2017 04:00",112.033,112.069,112.01,112.04
"Jul 19, 2017 03:00",112.05,112.106,112.017,112.035
"Jul 19, 2017 02:00",112.073,112.087,111.979,112.055
"Jul 19, 2017 01:00",112.009,112.135,111.989,112.069
"Jul 19, 2017 00:00",111.995,112.023,111.885,112.013
"Jul 18, 2017 23:00",112.076,112.079,111.944,111.992
"Jul 18, 2017 22:00",112.057,112.109,112.02,112.073
"Jul 18, 2017 21:00",112.065,112.105,111.975,112.061
